MusicTagName,MP4,Vorbis,WMA,ID3v24,ID3v23,APEv2,SplitChars,JoinChars
TrackTitleSort,sonm,TITLESORT,WM/TitleSortOrder,TSOT,TSOT,TitleSort,,
TrackNumber,trkn,TRACKNUMBER,WM/TrackNumber,TRCK,TRCK,Track,,
TrackCount,trkn,TOTALTRACKS|TRACKTOTAL,TOTALTRACKS,TOTALTRACKS,TOTALTRACKS,TotalTracks,,
WorkTitle,©wrk,WORK,WM/Work,TXXX:WORK,TXXX:WORK,Work,,
Writer,*:WRITER,WRITER,WRITER,TXXX:Writer,TXXX:WRITER,Writer,"; /"," / "
YearReleased,©day,DATE,WM/Year,TDRC,TDRC|TYER,Year,,
# my custom tags,,,,,,,,
AllMusicAlbumId,*:ACK_ALLMUSIC_ALBUM_ID,ACK_ALLMUSIC_ALBUM_ID,ACK/AllMusicAlbumId,TXXX:ACK_ALLMUSIC_ALBUM_ID,TXXX:ACK_ALLMUSIC_ALBUM_ID,ACKAllMusicAlbumId,"; /","; "
AllMusicArtistId,*:ACK_ALLMUSIC_ARTIST_ID,ACK_ALLMUSIC_ARTIST_ID,ACK/AllMusicArtistId,TXXX:ACK_ALLMUSIC_ARTIST_ID,TXXX:ACK_ALLMUSIC_ARTIST_ID,ACKAllMusicArtistId,"; /","; "
DigitalPurchaseDate,*:ACK_DIGITAL_PURCHASE_DATE,ACK_DIGITAL_PURCHASE_DATE,ACK/DigitalPurchaseDate,TXXX:ACK_DIGITAL_PURCHASE_DATE,TXXX:ACK_DIGITAL_PURCHASE_DATE,ACKDigitalPurchaseDate,,
DigitalPurchaseFrom,*:ACK_DIGITAL_PURCHASE_FROM,ACK_DIGITAL_PURCHASE_FROM,ACK/DigitalPurchaseFrom,TXXX:ACK_DIGITAL_PURCHASE_FROM,TXXX:ACK_DIGITAL_PURCHASE_FROM,ACKDigitalPurchaseFrom,,
DigitalPurchaseId,*:ACK_DIGITAL_PURCHASE_ID,ACK_DIGITAL_PURCHASE_ID,ACK/DigitalPurchaseId,TXXX:ACK_DIGITAL_PURCHASE_ID,TXXX:ACK_DIGITAL_PURCHASE_ID,ACKDigitalPurchaseId,,
DiscogsAlbumId,*:ACK_DISCOGS_ALBUM_ID,ACK_DISCOGS_ALBUM_ID,ACK/DiscogsAlbumId,TXXX:ACK_DISCOGS_ALBUM_ID,TXXX:ACK_DISCOGS_ALBUM_ID,ACKDiscogsAlbumId,"; /","; "
DiscogsArtistId,*:ACK_DISCOGS_ARTIST_ID,ACK_DISCOGS_ARTIST_ID,ACK/DiscogsArtistId,TXXX:ACK_DISCOGS_ARTIST_ID,TXXX:ACK_DISCOGS_ARTIST_ID,ACKDiscogsArtistId,"; /","; "
IMDbArtistId,*:ACK_IMDB_ARTIST_ID,ACK_IMDB_ARTIST_ID,ACK/IMDbArtistId,TXXX:ACK_IMDB_ARTIST_ID,TXXX:ACK_IMDB_ARTIST_ID,ACKIMDbArtistId,"; /","; "
RecordedDate,*:ACK_RECORDED_DATE,ACK_RECORDED_DATE,ACK/RecordedDate,TXXX:ACK_RECORDED_DATE,TXXX:ACK_RECORDED_DATE,ACKRecordedDate,,
